audit_item_id,image_path,image_sha256
audit-0001,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0559.jpg,3a2c97310793312c27f2af3e6cdce7269c28c87c18efbb303c13b7bd1267e5f3
audit-0002,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0501.jpg,a0fce596699e213b433ee8ad5116040c6131e100c39a0f17dbba8dc1605342c1
audit-0003,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0361.jpg,d81b512a77e9ac8d9059f70f54f9cffd150c0df07e55f91ae6e01bcb29f32193
audit-0004,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0178.jpg,ccc39bbdf58ac241e4f2732f2009a1139538dc3c97e657f6b9b2eead0d6d2498
audit-0005,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0092.jpg,15d0951ebdf4a8e985555e07efdefb4a30b8f2ddd4bc81b131dfad1d9ff4b754
audit-0006,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0571.jpg,6b4a334016a1a2a16fe2161a593129330f88c3832c9b9a39de2448636cf2b604
audit-0007,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0141.jpg,bf4b66b413f6929a8101ebd8643ec9d392c61d5c8f1b0383e96ce01ab097fa09
audit-0008,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0497.jpg,2439c5eb1fac0203fc64d28bebad9ea452b803f3a2d63af35a0fe28feb223a22
audit-0009,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0341.jpg,6ab4887ae08642a97d67add3628c03181ea7652996abc1bd8551b117dd16729a
audit-0010,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0305.jpg,6427a7f9cf5d01b9745dd9cde738d046ff0b2aaaa57f7942575c2ea17cc4dcb3
audit-0011,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0028.jpg,75639c5ea2a1a7d94a16368b3e1ef646d0d50314f550a2bbd8f15aa758432d37
audit-0012,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0287.jpg,9fb1a616a16c2f58bbb602d8e61103f99dbe44c8d3f9b356627ea600b52d0296
audit-0013,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0014.jpg,553363dd7981ab32ddfd0d3465f2e2097a01623ded3a762bdc473783413b3126
audit-0014,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0327.jpg,d125ae07c01b1b8149d101a7f1c790f564493eb65a6eefdec4d357f2a07d25ce
audit-0015,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0173.jpg,e8ec31476a2325aa52d1aebe41e3fe04b005b2c293d3e656f9b79e178ab4c84d
audit-0016,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0443.jpg,e22dccb787fcf524e63b00b765b80f64e0dcc11a320d6c9d1aa7e1828d327844
audit-0017,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0405.jpg,1d4d61308e48f401bb7cf50abcf4c37393887c4ec6f639ad86b135db3b79d38b
audit-0018,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0427.jpg,293cb15a5368f44570776bb17c159083a10d09375521efcf7003db43be39ceb9
audit-0019,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0280.jpg,7ee191b7a3db6f1d34864b8404ce9d71d68091d48c27b51caa3328f1d86f21eb
audit-0020,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0415.jpg,e9b899c44bf33a775166659c11605d709b01b68e9c7d9ac35203bc3fb7cba55e
audit-0021,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0579.jpg,b24fcdd9d00711bb4d213ff7bcfd08220f77495109902350d5405cac1604477c
audit-0022,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0429.jpg,8cfab34a3508afd85fec4c2a44c8796624801e11a11af7c8dddc475a7aa9f376
audit-0023,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0082.jpg,e9456822f00a6e8209c9d45ba91ecf7ffaf9fbb77544ea9fc83bb882ef567c08
audit-0024,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0546.jpg,0fbb079a1ef488cf0ba84723846f65cd85c9a5fb435a1a0097d26f112119d031
audit-0025,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0053.jpg,f720790a030f3bac1e2c27c9e64807bcde5eb8ef5e6aa31addbf4c54bb4c252b
audit-0026,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0589.jpg,8f7820e0bbbdff600854cf38e797f916ce06c57410ff61f59a8eae322174055b
audit-0027,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0076.jpg,4490fd488582af545c9148bee8345059b8ae5aa2da0e68ace1cb6c46bf931070
audit-0028,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0236.jpg,5e9ca69e36849c9e796263b0443cb7439fad651061c12bdfc638c3eec9e09dc7
audit-0029,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0191.jpg,ae133e3f218fe284ca9be7fa0f297aa9f114fbb364885cf3a730491a8d7d6d1f
audit-0030,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0535.jpg,ebf0e9143bc81f2116660616d7b67ccd8a99f1e3f1eeb84f29540a5a5bfca087
audit-0031,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0318.jpg,ef2ab465ce605bbe38148f16c21fd2f7a2b729efc843eb1aa1f1453a888d7b4e
audit-0032,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0393.jpg,51c02a5d32d32698ad04a122ac16cc112759ed2e2beb6e8cbd7112fcb4b3d50e
audit-0033,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0167.jpg,b496a7b5c6cbd3ff18d657031c4196d24c84cde064822d9beb566122f2836039
audit-0034,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0597.jpg,2a7c9c13731ac66dcca7b872d22e53129acc60ef5e9822a319c02e1301881a60
audit-0035,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0125.jpg,243a260d69e4c5c3555f4958e31ea324af535e36544d946a23117becf046c98a
audit-0036,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0454.jpg,aa67ca9062278ba337d052ffa6054a6d89e1f989c285bc89cb9e625b76ce3bd9
audit-0037,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0129.jpg,065041eb85c68020e0ca41b69a2e44eccab9e660f6d1dfb8ef79aca29fd38530
audit-0038,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0282.jpg,f2c34b770ba82317d89ef98562fe15ca6ac00b5af58928f1f67f86ede42c6f87
audit-0039,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0112.jpg,c5110a02325827ba9b06b5860eea7da56487303f1d05570c328e169e4d3b9041
audit-0040,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0007.jpg,8c4a3058ab52775e980dcd96f1b43cb237e2d44067473f22eadcfb917419788e
audit-0041,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0304.jpg,b98cc55ec9a35be20f8de53f8837859d76be209514a1042849ad03ff545056ab
audit-0042,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0326.jpg,7358a2b707ee15f6ddeefce426f4dcede1bc2e1059367ebcead5366afc39c8da
audit-0043,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0183.jpg,e2dfcd065a16280fafc2996f2407105ace4f2299501fb16509ee330201dbf37a
audit-0044,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0097.jpg,28e3b9105a8e15b549d098e18af99dca0913cf4519c7baa2e369720f1219ab61
audit-0045,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0520.jpg,a7cb22e974aa1240c4cf83318aa5a530e2afad9ed7ec26008702670b71f5815c
audit-0046,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0422.jpg,91a7b34b12a5d0045d1c05661c6ef7c6e5847e219d3ecd091e1652a12840a46a
audit-0047,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0179.jpg,b793b5026e7551aaeb4fb48964d447ab99cd31076c307a15c19945993256116e
audit-0048,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0102.jpg,d5773bd3123d424f0dd1eb33359b5c04a328889a8dd36927937bfec1ed3dec7c
audit-0049,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0474.jpg,b27fcf0945c86023249c5ad5804bf18d215f05af9ca1104f05f9eedaab8f13e5
audit-0050,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0292.jpg,c92c7ef2c8ce7477fa7624a1601f3312d4ea8e6619a06820a38f3439e57dd056
audit-0051,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0288.jpg,6c10a80cb10fdb9fb257e6c33a61b169486ba4bd72621e79f676f9f05eb5dae7
audit-0052,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0231.jpg,06bcedc258a5553d6c152815267fdfb0b6a97d77bdf9393c62834f14b3476eec
audit-0053,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0569.jpg,50b578e8334e1dbdeea8672d3131aef619790a14c1da741a34497b9cb6328097
audit-0054,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0033.jpg,b0a4e25f2deb39cff9bff35b0d093c1d42eec0d9acdcbd6091c28d82193d7a26
audit-0055,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0048.jpg,f6036541fe6c23c2ef47e365faabfdcd58618e133a31bf668689c3059560630b
audit-0056,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0400.jpg,907c7250f14a0f830578fbe206e49fc34b8f60848cc6efe4888bbda000e972b6
audit-0057,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0212.jpg,a600fc55164d530502022adf5e85ab72770062400c6a79101ca545cf5bb98af3
audit-0058,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0502.jpg,7c539935fa922ff91eac00e4f2b2a2538172be4189edf08ccba297e1212ecfe0
audit-0059,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0289.jpg,a327d7108094b80c74828f51ab5d3850eb04b9c9af84161c7c0b4b517d306d5c
audit-0060,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0242.jpg,289ccdb17010dc039e661fba3be8855498ea0c3773c22e6c698d310c257020f6
audit-0061,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0362.jpg,13229886038435efdc96c2ec481f517504b531bbc8f70cf86c246cf13a95fa1f
audit-0062,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0025.jpg,df9fd5aeac1efdc001008cd3bccc3400d158a2daad1a44c4457382a5e0185625
audit-0063,archived_workspace/experiments/coverage_audit/work/contact_sheets/pc-0131.jpg,ab575729bfbd4ae728e4eea007204e74517872ac08979d860b7844f1ac050828
