unit_id,video,contact_sheet,category_id,category,scene_type,question_type,question,gold_answer,model_answer,control_type,control_question,control_gold_answer,control_model_answer,control_pass,primary_label,secondary_label,evidence_note,confidence,question_or_key_problem
error-0001,hTxS5J_ZaKQ_80_0_13_52_499_to_0_14_04_110.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0384.jpg,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] If the car had continued driving straight on its initial path instead of turning, the 'Baraka' entrance sign would have passed by on the car's ______ side.",left,right,action_event,[Single-Choice] What does the camera vehicle do after entering the grassy parking area? [Options] A) Stops at a gatehouse B) Backs into a garage C) Drives past parked RVs D) Crosses a railroad track,C,C) Drives past parked RVs,True,physical_prediction_counterfactual,perspective_reference_frame,20-frame full-duration sheet: the Baraka sign is visible ahead and to the left of the vehicle's initial straight path before the actual rightward turn; the answer reverses the counterfactual passing side.,high,no
error-0002,coriwTyx1Os_26_0_04_32_890_to_0_04_45_408.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0315.jpg,4,Predictive and Counterfactual Spatial Reasoning,Object-Centric,True/False,"[True/False] Assuming the flying object's path relative to the road remained the same, if the camera vehicle had been traveling in the left lane at the same speed, the object would have most likely passed harmlessly behind it.",False,True,action_event,"[Single-Choice] Before the dark object comes close, what is the camera vehicle doing? [Options] A) Merging into the left lane B) Driving straight in the right lane C) Pulling onto the shoulder D) Turning off the highway",B,B) Driving straight in the right lane,True,physical_prediction_counterfactual,spatiotemporal_grounding,20-frame full-duration sheet: the vehicle remains in the right lane while the airborne object approaches and crosses the forward view; the answer does not preserve the observed relative trajectory under the left-lane counterfactual.,medium,no
error-0003,smpHs3qH_dE_40_0_07_17_854_to_0_07_29_532.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0372.jpg,4,Predictive and Counterfactual Spatial Reasoning,Object-Centric,Single-Choice,"[Single-Choice] Based on the white van's consistent speed and trajectory, which object would its front bumper be aligned with approximately one second after the video ends? [Options] A) The front of the parked dark-colored SUV. B) The rear of the parked silver sedan. C) The storefront with the red sign in the distance. D) The second light pole on the sidewalk.",D,B) The rear of the parked silver sedan.,action_event,"[Single-Choice] Near the start, what is the camera doing as the street is viewed? [Options] A) Moving forward along the sidewalk B) Remaining fixed beside the curb C) Tilting upward toward the trees D) Crossing the street toward cars",A,B) Remaining fixed beside the curb,False,physical_prediction_counterfactual,spatiotemporal_grounding,20-frame full-duration sheet: the white van advances steadily past successive curbside landmarks while the camera also moves forward; choosing the parked silver sedan fails to extrapolate the van's final motion to the later light-pole alignment.,medium,no
error-0004,fRmaPWqByGw_25_0_05_06_560_to_0_05_41_199.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0469.jpg,5,Object Deformation and State Transition,Object-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] After the helicopter lands, the visual state of the main rotor blades transitions from a continuous transparent blur to ______, as they slow to a stop.",distinct individual blades,stillness,entity,[Single-Choice] Which surface is visible under the helicopter near its touchdown area? [Options] A) A paved road B) A sandy beach C) A snowy field D) A grassy field,D,D,True,benchmark_ambiguity,protocol_or_parsing,20-frame full-duration sheet: the helicopter rotor changes from motion blur to a visibly stopped rotor; 'stillness' describes that terminal state and is semantically compatible with the prompt although it does not match the preferred wording 'distinct individual blades'.,high,yes
error-0005,GIZXp3foP9g_22_0_04_56_896_to_0_05_11_477.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0350.jpg,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,True/False,"[True/False] Based entirely on the difference in acceleration between the two motorcycles within the first two seconds of the race, it is predictable that the motorcycle in the right lane will maintain its lead.",False,True,simple_relation,"[Single-Choice] After the start, which direction do the motorcycles move across the view? [Options] A) From right to left B) Toward the camera C) From left to right D) Away from the camera",C,D,False,benchmark_ambiguity,physical_prediction_counterfactual,"20-frame full-duration sheet: both motorcycles accelerate left-to-right and their separation changes, but the first two seconds alone do not uniquely establish whether the right-lane motorcycle will maintain its lead for an unspecified future interval.",medium,yes
error-0006,YjM0K5_4FHU_124_0_16_17_679_to_0_16_28_240.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0408.jpg,5,Object Deformation and State Transition,Human-Centric,True/False,[True/False] The car's front bumper becomes detached from the vehicle during the attempt to climb the hill.,False,True,action_event,[Single-Choice] Does the car drive across the flat snowy area before or after its front wheels rise onto the snowy bank? [Options] A) Before the wheels rise onto the bank B) After the wheels rise onto the bank C) While the wheels rise onto the bank D) No ordering is visible,A,B) After the wheels rise onto the bank,False,perception_recognition,spatiotemporal_grounding,20-frame full-duration sheet: the car repeatedly climbs the snowy bank and its front bumper remains visibly attached throughout; the affirmative answer reports a detachment not present in the sequence.,high,no
error-0007,myJ2l-o5rYQ_73_0_09_40_480_to_0_09_58_960.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0181.jpg,2,Dynamic Spatial Relationships,Human-Centric,Fill-in-the-Blank,"[Fill-in-the-Blank] In the final shot of the video taken by the man in the blue shirt, the puck travels across the floor, passing in front of the ______.",seated person,goal,simple_relation,[Single-Choice] Where is the large black equipment relative to the glass doorway? [Options] A) To the left of it B) Directly in front of it C) Directly behind it D) To the right of it,D,D) To the right of it,True,spatiotemporal_grounding,perception_recognition,"20-frame full-duration sheet: in the final shot the puck crosses the floor in front of the seated person/equipment area, whereas the goal belongs to a different spatial location and earlier play context.",high,no
error-0008,FDMxA941dVE_64_0_08_46_292_to_0_08_56_869.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0318.jpg,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] If the kitesurfer were to immediately make a sharp 90-degree turn to their left, what would be their new direction of travel relative to the landmarks? [Options] A) Directly towards the beach with palm trees. B) Parallel to the line of wooden posts, but moving away from the pier. C) Directly towards the large white dome. D) Towards the open sea, away from the shoreline.",D,"B) Parallel to the line of wooden posts, moving away from the pier.",simple_relation,[Single-Choice] Where is the row of wooden posts relative to the kitesurfer in the view? [Options] A) Farther out toward open sea B) Directly underneath the board C) Beside him at the same depth D) Farther back near the shoreline,D,D,True,perspective_reference_frame,physical_prediction_counterfactual,"20-frame full-duration sheet: the kitesurfer travels with the shoreline and posts behind him; applying a 90-degree turn to the rider's own left yields the open-sea direction, not motion parallel to the posts.",high,no
error-0009,Ul4Hy1EfPNQ_41_0_07_41_628_to_0_07_54_607.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0342.jpg,4,Predictive and Counterfactual Spatial Reasoning,Human-Centric,Single-Choice,"[Single-Choice] If the girl had pushed off with her feet with the same force but without first turning the handlebars, what would have been the tricycle's most likely initial path? [Options] A) It would have moved directly toward the camera. B) It would have moved backward away from the camera. C) It would have moved to the left, as it did in the video. D) It would have spun in a circle without moving forward.",C,B) It would have moved backward away from the camera.,simple_relation,[Single-Choice] Where is the tricycle's front wheel relative to its red rear basket? [Options] A) To the left of the basket B) To the right of the basket C) Directly above the basket D) Directly below the basket,B,D) Directly below the basket,False,benchmark_ambiguity,physical_prediction_counterfactual,"20-frame full-duration sheet: the tricycle's wheel orientation and the girl's push are visible, but the prompt removes the handlebar turn without specifying the retained wheel heading; the asserted gold path 'left, as in the video' is not uniquely determined by that intervention.",low,yes
error-0010,j4jcztT_3O0_30_0_06_10_966_to_0_06_24_133.mp4,archived_workspace/experiments/perception_control/work/single_probe_200_contact_sheets/pc-0476.jpg,5,Object Deformation and State Transition,Human-Centric,Single-Choice,[Single-Choice] How does the spatial arrangement of the red leash change from the beginning to the end of the video? [Options] A) It starts stretched out and becomes coiled near the husky. B) It remains coiled in the same spot throughout the video. C) It starts partially coiled and ends up stretched out towards the right side of the scene. D) It starts partially coiled and ends up stretched out towards the left side of the scene.,D,C) It starts partially coiled and ends up stretched out towards the right side of the scene.,action_event,[Single-Choice] What is the dark dog doing when it moves near the red leash? [Options] A) Lying on the sand B) Jumping over branches C) Walking across the sand D) Digging in the sand,C,C) Walking across the sand,True,perception_recognition,spatiotemporal_grounding,20-frame full-duration sheet: the red leash begins partly coiled near the dogs and ends extended across the sand toward the image-left side; the answer reverses the directly visible final direction.,high,no
