scope_item_id,scope_status,primary_dimension,secondary_dimensions,confidence,reason_cn
scope-0601,supporting_operation,C3_action_intent,,medium,询问取下悬挂物与走向室外两个行动阶段的顺序
scope-0602,directly_in_scope,C2_dynamic_spatial,C5_deformation_state,high,询问拆包过程中桌面物品空间排列的变化
scope-0603,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,相对相机追踪无人机远离与靠近的运动顺序
scope-0604,outside_scope,NONE,,high,只比较讨论发动机舱与展示驾驶室的讲解顺序
scope-0605,outside_scope,NONE,,high,只比较镜子与灯具的镜头展示顺序
scope-0606,directly_in_scope,C2_dynamic_spatial,,high,询问狗与栏杆之间距离的变化
scope-0607,outside_scope,NONE,,high,只比较石像与人物的镜头展示顺序
scope-0608,directly_in_scope,C2_dynamic_spatial,,high,询问白车绕障碍物时的行驶轨迹形状
scope-0609,supporting_operation,C2_dynamic_spatial,,high,询问车辆最终是否停在道路上的空间终态
scope-0610,directly_in_scope,C3_action_intent,C6_reference_frame,high,询问男子走近后的手势指示方向
scope-0611,outside_scope,NONE,,high,核心是两类水生动物的出现顺序
scope-0612,directly_in_scope,C1_occlusion_permanence,,high,需要追踪冲浪者跌入浪花遮挡后是否重新出现
scope-0613,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问镜头移动后哪栋房屋进入画面中央
scope-0614,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问航拍相机靠近居民区时的距离变化
scope-0615,directly_in_scope,C5_deformation_state,,high,询问包装由封闭到展开的状态变化
scope-0616,directly_in_scope,C2_dynamic_spatial,,high,询问飞机经过航站楼时与地面的高度关系
scope-0617,directly_in_scope,C1_occlusion_permanence,C6_reference_frame,high,追踪狗远离变小后是否仍能保持视觉连续性
scope-0618,directly_in_scope,C2_dynamic_spatial,,medium,需要跨镜头判断水面与远岸树木的位置关系是否稳定
scope-0619,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问镜头推进时球员与球洞的距离变化
scope-0620,directly_in_scope,C2_dynamic_spatial,,high,询问白车在空地中的转弯轨迹
scope-0621,directly_in_scope,C2_dynamic_spatial,C3_action_intent,high,询问女子是否完成穿过狭窄石门的运动过程
scope-0622,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问镜头移动时住宅进入画面中央的时点
scope-0623,directly_in_scope,C3_action_intent,,medium,询问两人查看车辆时选择的空间目标区域
scope-0624,supporting_operation,C5_deformation_state,C2_dynamic_spatial,medium,询问折叠机构在后轮组件中的静态位置
scope-0625,directly_in_scope,C2_dynamic_spatial,,high,询问鳐鱼相对岸边的位置变化
scope-0626,supporting_operation,C6_reference_frame,C3_action_intent,medium,追踪男子操作时相对水面的主体朝向
scope-0627,supporting_operation,C2_dynamic_spatial,,medium,询问出口标志与匝道分离两个路径线索的顺序
scope-0628,supporting_operation,C2_dynamic_spatial,,high,询问工具与编织板的静态侧向关系
scope-0629,directly_in_scope,C3_action_intent,,high,直接询问冲浪者下板行动所要避免的结果
scope-0630,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问马接近相机后从哪一侧经过
scope-0631,supporting_operation,C2_dynamic_spatial,,high,询问灯与花瓶的静态侧向关系
scope-0632,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,medium,询问小船通过时桥墩相对相机从哪侧经过
scope-0633,directly_in_scope,C2_dynamic_spatial,C3_action_intent,high,询问冲浪者失去平衡前是否完成转向
scope-0634,supporting_operation,C2_dynamic_spatial,,high,询问手中物品与栏杆的静态侧向关系
