scope_item_id,scope_status,primary_dimension,secondary_dimensions,confidence,reason_cn
scope-0501,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,比较两只狗相对相机接近的动态顺序
scope-0502,directly_in_scope,C2_dynamic_spatial,,high,询问狗与栏杆之间距离的变化
scope-0503,directly_in_scope,C6_reference_frame,,high,明确采用骑手视角判断转向车道方位
scope-0504,directly_in_scope,C6_reference_frame,,high,以男子为参考判断所指岩石的方向
scope-0505,directly_in_scope,C1_occlusion_permanence,,high,需要追踪前景立柱何时遮挡远处山景
scope-0506,directly_in_scope,C3_action_intent,,high,询问手指反复指向的包装盒目标区域
scope-0507,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问相机绕车运动时车身在视点中的朝向变化
scope-0508,outside_scope,NONE,,medium,只比较镜头由车尾移到车头与讲解手势的展示顺序
scope-0509,supporting_operation,C2_dynamic_spatial,,high,询问住宅与水面的静态侧向关系
scope-0510,directly_in_scope,C1_occlusion_permanence,,high,需要判断白车是否被前景仪表台遮挡
scope-0511,directly_in_scope,C2_dynamic_spatial,,high,询问赛马群中领先前后关系是否变化
scope-0512,directly_in_scope,C2_dynamic_spatial,,medium,需要跨讲解过程判断盒子位置是否改变
scope-0513,directly_in_scope,C1_occlusion_permanence,C5_deformation_state,high,询问车门打开后原先隐藏的车内空间是否变得可见
scope-0514,outside_scope,NONE,,high,只比较港口小船与起重桥的镜头展示顺序
scope-0515,directly_in_scope,C5_deformation_state,C3_action_intent,high,询问工具处理是否使肉块发生分离状态变化
scope-0516,supporting_operation,C2_dynamic_spatial,,medium,询问摩托车经过观众席与烟雾产生的动态事件顺序
scope-0517,directly_in_scope,C2_dynamic_spatial,,high,询问单板相对坡面的朝向交替变化
scope-0518,supporting_operation,C2_dynamic_spatial,,high,询问旗杆与沙坑的静态侧向关系
scope-0519,directly_in_scope,C2_dynamic_spatial,,medium,询问成年男子出现与儿童群散开的群体空间变化关系
scope-0520,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问镜头平移时山谷从画面哪侧出现
scope-0521,directly_in_scope,C3_action_intent,C6_reference_frame,high,询问男子指向目标相对人群的方位
scope-0522,directly_in_scope,C2_dynamic_spatial,,high,询问孩子群体共同跑动的方向
scope-0523,supporting_operation,C2_dynamic_spatial,,high,询问球相对洞杯的静态终点距离
scope-0524,directly_in_scope,C2_dynamic_spatial,,high,询问蓝车入弯后的车头朝向
scope-0525,directly_in_scope,C2_dynamic_spatial,,medium,询问孩子群体由聚集到散开的空间状态顺序
scope-0526,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问无人机从湖面哪侧进入清晰画面
scope-0527,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,以船边为参考判断被举起鱼的位置
scope-0528,directly_in_scope,C2_dynamic_spatial,,high,询问冲线前马群之间距离是否逐渐拉开
scope-0529,directly_in_scope,C5_deformation_state,,high,询问鱼竿弯曲程度的变化
scope-0530,supporting_operation,C2_dynamic_spatial,,high,询问甜点与玻璃柜台的静态侧向关系
scope-0531,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问镜头沿山路移动时护栏在画面中的运动
scope-0532,directly_in_scope,C2_dynamic_spatial,,high,询问骑手相对岸边的运动方向
scope-0533,outside_scope,NONE,,high,只比较石像与人物的镜头展示顺序
scope-0534,directly_in_scope,C2_dynamic_spatial,,medium,询问虾在水草上的朝向是否变化
scope-0535,directly_in_scope,C3_action_intent,,high,直接询问冲浪者抬前脚是否为了保持平衡
scope-0536,outside_scope,NONE,,high,核心是对侧面可见车门进行数量统计
scope-0537,directly_in_scope,C2_dynamic_spatial,,high,询问冲浪板相对浪峰的位置变化
scope-0538,directly_in_scope,C6_reference_frame,,high,明确从后座视角判断驾驶员方位
scope-0539,directly_in_scope,C5_deformation_state,,high,询问鱼竿弯曲程度随时间变化
scope-0540,supporting_operation,C2_dynamic_spatial,,high,询问红虾相对水草的静态位置
scope-0541,directly_in_scope,C1_occlusion_permanence,,high,需要判断前景车顶是否遮挡马匹
scope-0542,directly_in_scope,C5_deformation_state,C2_dynamic_spatial,high,询问浪峰向岸推进时的形状变化
scope-0543,directly_in_scope,C3_action_intent,C5_deformation_state,high,询问男子系绳固定的目标物体
scope-0544,directly_in_scope,C2_dynamic_spatial,,high,询问车辆沿路径通过急弯与进入直路的顺序
scope-0545,directly_in_scope,C1_occlusion_permanence,,high,需要追踪女子穿门前后是否被石墙短暂遮挡
scope-0546,supporting_operation,C3_action_intent,C5_deformation_state,medium,询问鱼竿弯曲与鱼到岸两个捕鱼阶段的关系
scope-0547,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,相对相机追踪狗先远离后返回的运动
scope-0548,directly_in_scope,C5_deformation_state,,high,询问工具处理后金属条是否弯曲变形
scope-0549,supporting_operation,C3_action_intent,C6_reference_frame,medium,识别交谈人物面向彼此或车辆的行动朝向
scope-0550,directly_in_scope,C2_dynamic_spatial,,high,询问冲浪者相对浪峰的位置变化
scope-0551,supporting_operation,C2_dynamic_spatial,,high,询问座垫与中央台面的静态侧向关系
scope-0552,directly_in_scope,C2_dynamic_spatial,,high,询问飞机相对地面的高度变化顺序
scope-0553,supporting_operation,C3_action_intent,,medium,询问整理鞋带与站起两个行动阶段的顺序
scope-0554,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问蓝车相对拍摄车辆的距离变化
scope-0555,outside_scope,NONE,,high,只比较进食与展示餐盘的一般事件顺序
