scope_item_id,scope_status,primary_dimension,secondary_dimensions,confidence,reason_cn
scope-0001,supporting_operation,C2_dynamic_spatial,,medium,对“第二个人的抄网最终位于鱼的下方吗？”，表层只问运动终点、局部动态关系或空间事件顺序；在该具体运动过程中它是 C2 的必要基础操作，但未直接要求建模完整关系变化。
scope-0002,outside_scope,NONE,,high,对“驳船位于河岸建筑的前方还是后方？”，只需读取单点静态位置或方位，且没有明确动态过程或视角转换；不能仅因含空间词就归入六维。
scope-0003,supporting_operation,C3_action_intent,,medium,对“女子先握住小鱼还是先让另一只手接近鱼钩？”，表层只问动作识别或操作先后；该具体操作围绕空间目标、受体或结果展开，是 C3 的必要基础操作，但未直接询问意图本身。
scope-0004,outside_scope,NONE,,high,对“输电线位于城市建筑上方吗？”，只需读取单点静态位置或方位，且没有明确动态过程或视角转换；不能仅因含空间词就归入六维。
scope-0005,outside_scope,NONE,,high,对“三脚架位于沙发坐垫上还是地面上？”，只需读取单点静态位置或方位，且没有明确动态过程或视角转换；不能仅因含空间词就归入六维。
scope-0006,directly_in_scope,C5_deformation_state,,high,对“按下启动键后仪表盘发生什么状态变化？”，核心要求识别开合、弯曲、组装、分离、破坏或状态转变，直接考查 C5 形变与状态变化。
scope-0007,supporting_operation,C2_dynamic_spatial,C6_reference_frame,medium,对“鱼最终位于船的哪一侧？”，表层只问运动终点、局部动态关系或空间事件顺序；在该具体运动过程中它是 C2 的必要基础操作，但未直接要求建模完整关系变化。；同时还需处理相机、行动者或对象参照。
scope-0008,supporting_operation,C3_action_intent,C2_dynamic_spatial,medium,对“鱼进入抄网发生在收线之前还是之后？”，表层只问动作识别或操作先后；该具体操作围绕空间目标、受体或结果展开，是 C3 的必要基础操作，但未直接询问意图本身。；同时还需跟踪相关空间关系或轨迹的时间变化。
scope-0009,supporting_operation,C2_dynamic_spatial,,medium,对“他先经过照片墙还是先到达洗手间门口？”，表层只问运动终点、局部动态关系或空间事件顺序；在该具体运动过程中它是 C2 的必要基础操作，但未直接要求建模完整关系变化。
scope-0010,directly_in_scope,C2_dynamic_spatial,,high,对“水翼板手在水面上是否保持离水滑行？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。
scope-0011,supporting_operation,C2_dynamic_spatial,,medium,对“无人机降低高度后落在什么表面？”，表层只问运动终点、局部动态关系或空间事件顺序；在该具体运动过程中它是 C2 的必要基础操作，但未直接要求建模完整关系变化。
scope-0012,directly_in_scope,C2_dynamic_spatial,C6_reference_frame,high,对“黑马从侧向行进转为朝相机靠近了吗？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0013,supporting_operation,C2_dynamic_spatial,,medium,对“车辆先驶入主路还是先遇到红灯？”，表层只问运动终点、局部动态关系或空间事件顺序；在该具体运动过程中它是 C2 的必要基础操作，但未直接要求建模完整关系变化。
scope-0014,supporting_operation,C6_reference_frame,,medium,对“摩托车驶过路口时向哪一侧转弯？”，表层只读取固定时刻的方向、朝向或哪一侧，是 C6 的参照表达基础操作，但未要求显式视角转换。
scope-0015,supporting_operation,C2_dynamic_spatial,,medium,对“鱼从水下出现到被举起经历了什么顺序？”，表层只问运动终点、局部动态关系或空间事件顺序；在该具体运动过程中它是 C2 的必要基础操作，但未直接要求建模完整关系变化。
scope-0016,directly_in_scope,C2_dynamic_spatial,C6_reference_frame,high,对“白色汽车绕场地行驶时方向如何持续变化？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0017,directly_in_scope,C5_deformation_state,,high,对“发动机盖在整个片段中保持打开吗？”，核心要求识别开合、弯曲、组装、分离、破坏或状态转变，直接考查 C5 形变与状态变化。
scope-0018,directly_in_scope,C2_dynamic_spatial,,high,对“浪线相对沙滩边缘如何推进？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。
scope-0019,directly_in_scope,C5_deformation_state,C2_dynamic_spatial,high,对“鱼竿弯曲方向相对海面如何变化？”，核心要求识别开合、弯曲、组装、分离、破坏或状态转变，直接考查 C5 形变与状态变化。；同时还需跟踪相关空间关系或轨迹的时间变化。
scope-0020,outside_scope,NONE,,high,对“烟雾出现发生在正式加速之前还是之后？”，核心只是一般事件或镜头展示顺序；题面未表明该顺序是六维高层推理的必要组成，因此判为范围外。
scope-0021,directly_in_scope,C5_deformation_state,C3_action_intent,high,对“男子按压后车门区域后车门是否打开？”，核心要求识别开合、弯曲、组装、分离、破坏或状态转变，直接考查 C5 形变与状态变化。；同时还需绑定动作与空间目标或结果。
scope-0022,directly_in_scope,C5_deformation_state,,high,对“蓝色橡皮筋的编织结构如何随操作变化？”，核心要求识别开合、弯曲、组装、分离、破坏或状态转变，直接考查 C5 形变与状态变化。
scope-0023,directly_in_scope,C2_dynamic_spatial,C6_reference_frame,high,对“机翼相对跑道始终位于画面下方吗？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0024,directly_in_scope,C2_dynamic_spatial,,high,对“冲浪者在片段中是否完成了不止一次方向相反的明显转向？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。
scope-0025,directly_in_scope,C2_dynamic_spatial,C6_reference_frame,high,对“水面反光区域随镜头移动发生了什么变化？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0026,directly_in_scope,C2_dynamic_spatial,,high,对“红色汽车绕场时是否与另一辆红车交会？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。
scope-0027,directly_in_scope,C2_dynamic_spatial,,high,对“两辆车之间的距离如何变化？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。
scope-0028,outside_scope,NONE,,high,对“男子先展示绳端还是先演示船上固定点？”，核心只是一般事件或镜头展示顺序；题面未表明该顺序是六维高层推理的必要组成，因此判为范围外。
scope-0029,directly_in_scope,C2_dynamic_spatial,C6_reference_frame,high,对“鱼被举起后其身体朝向如何变化？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0030,directly_in_scope,C2_dynamic_spatial,C6_reference_frame,high,对“着陆时机身朝向是否保持稳定？”，核心要求跟踪对象间位置、方向、距离或轨迹随时间的变化，直接考查 C2 动态空间关系。；同时还需处理相机、行动者或对象参照。
scope-0031,directly_in_scope,C3_action_intent,,high,对“男子的手主要指向发动机舱的哪个区域？”，核心要求把可见空间行动与其目标、去向或即时结果绑定，直接考查 C3 行动与意图。
scope-0032,directly_in_scope,C5_deformation_state,,high,对“男子操作后折叠自行车的轮部状态是否改变？”，核心要求识别开合、弯曲、组装、分离、破坏或状态转变，直接考查 C5 形变与状态变化。
