scope_item_id,scope_status,primary_dimension,secondary_dimensions,confidence,reason_cn
scope-0201,supporting_operation,C3_action_intent,,medium,询问起步前转动车把这一行动阶段的顺序
scope-0202,supporting_operation,C2_dynamic_spatial,,high,询问石像相对步道的静态侧向分布
scope-0203,directly_in_scope,C2_dynamic_spatial,,high,询问飞行物相对树梢的高度变化
scope-0204,supporting_operation,C5_deformation_state,,medium,询问火箭抬起状态与支撑结构出现的顺序
scope-0205,directly_in_scope,C5_deformation_state,C3_action_intent,high,询问踩踏操作是否使车尾踏板展开
scope-0206,supporting_operation,C3_action_intent,,medium,追踪滑雪者越杆后是否保持站立姿态
scope-0207,directly_in_scope,C2_dynamic_spatial,,high,询问鱼是否在片段结束前完成出水转移
scope-0208,directly_in_scope,C6_reference_frame,,high,询问镜头观察车辆左后侧与正后方的视点顺序
scope-0209,directly_in_scope,C2_dynamic_spatial,,high,询问儿童群与成年男子之间距离的变化
scope-0210,supporting_operation,C6_reference_frame,,medium,识别孩子们相对相机的主体朝向
scope-0211,directly_in_scope,C6_reference_frame,,high,在相机景深参考下判断输电塔与建筑的前后层次
scope-0212,supporting_operation,C2_dynamic_spatial,,high,询问海面相对男子的静态侧向位置
scope-0213,directly_in_scope,C2_dynamic_spatial,,high,询问大象与随行人员的前后关系变化
scope-0214,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,以船和钓鱼者为参考判断鱼线方向
scope-0215,directly_in_scope,C5_deformation_state,,high,询问操作后绳索形成的环状结构
scope-0216,directly_in_scope,C2_dynamic_spatial,,high,比较两只奔跑狗的运动方向
scope-0217,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,追踪红车相对相机由正面靠近到侧面经过的轨迹
scope-0218,directly_in_scope,C3_action_intent,C6_reference_frame,high,询问手指指向动作在画面中的空间方向
scope-0219,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问飞机最终从画面哪一侧飞离
scope-0220,directly_in_scope,C2_dynamic_spatial,,medium,询问镜头沿商店街移动时经过两个地点的路径顺序
scope-0221,outside_scope,NONE,,high,核心是对同时可见水鸟进行数量统计
scope-0222,outside_scope,NONE,,high,只比较镜头转场与看到马的展示顺序
scope-0223,supporting_operation,C6_reference_frame,,medium,识别地面人物相对飞行物的主体朝向
scope-0224,directly_in_scope,C2_dynamic_spatial,,high,询问无人机相对湖面的高度变化
scope-0225,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问女子穿门前后相对相机的距离变化
scope-0226,directly_in_scope,C3_action_intent,C2_dynamic_spatial,high,询问取下悬挂物后携带行动的空间去向
scope-0227,supporting_operation,C3_action_intent,,medium,询问展示鱼与处理鱼钩两个捕鱼行动阶段的顺序
scope-0228,supporting_operation,C2_dynamic_spatial,,medium,询问道路标志出现与车道分离两个路径线索的顺序
scope-0229,directly_in_scope,C3_action_intent,,high,直接询问用工具处理肉块的目标
scope-0230,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问镜头平移时海岸线在画面参考系中的运动
scope-0231,directly_in_scope,C2_dynamic_spatial,,high,询问人群空间分布是否逐渐聚合为队伍
scope-0232,directly_in_scope,C6_reference_frame,,high,明确采用骑手视角判断目标道路方向
scope-0233,supporting_operation,C2_dynamic_spatial,,medium,询问飞行器升空与地面车辆运动的事件关系
scope-0234,directly_in_scope,C3_action_intent,C6_reference_frame,medium,询问手势朝向所指的空间目标
scope-0235,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问相机绕车时前轮在画面中的相对变化
scope-0236,directly_in_scope,C3_action_intent,C2_dynamic_spatial,medium,询问射门目标行动前是否完成突破防守路径
scope-0237,directly_in_scope,C2_dynamic_spatial,,high,询问黑车靠近人群时距离的变化
scope-0238,directly_in_scope,C6_reference_frame,,high,明确采用骑手视角判断隔离带方向
scope-0239,supporting_operation,C2_dynamic_spatial,,high,询问两类吸音板的静态侧向分布
scope-0240,directly_in_scope,C2_dynamic_spatial,,medium,询问守门员扑救动作的运动方向
scope-0241,supporting_operation,C2_dynamic_spatial,,high,询问石像沿小路的静态排列
scope-0242,directly_in_scope,C6_reference_frame,,high,以骑手为参考判断对向白车的位置
scope-0243,directly_in_scope,C2_dynamic_spatial,,high,询问鱼群相对水草的运动关系
scope-0244,supporting_operation,C6_reference_frame,,medium,识别驾驶员相对道路前方的朝向
scope-0245,directly_in_scope,C6_reference_frame,,high,以骑手为参考判断白车初始位置
scope-0246,supporting_operation,C5_deformation_state,,medium,识别车辆结构是否安装外置备胎
scope-0247,directly_in_scope,C2_dynamic_spatial,C5_deformation_state,high,询问靠近岩石后人与冲浪板的连接关系是否改变
scope-0248,directly_in_scope,C6_reference_frame,,high,询问拍摄车辆经过帐篷区时皮卡在画面哪侧
scope-0249,directly_in_scope,C5_deformation_state,,high,询问收线过程中鱼竿弯曲程度的变化
scope-0250,outside_scope,NONE,,high,只比较灯塔与升降桥的镜头展示顺序
scope-0251,directly_in_scope,C2_dynamic_spatial,,high,询问冲浪者由浪壁高处向下转向的轨迹变化
scope-0252,outside_scope,NONE,,high,只比较新闻展示与采访事件的时间顺序
scope-0253,supporting_operation,C3_action_intent,,medium,询问展示绳端与抛绳两个操作阶段的顺序
scope-0254,directly_in_scope,C3_action_intent,C6_reference_frame,high,询问住户指向手势的空间方向
scope-0255,outside_scope,NONE,,high,核心是识别蛋糕装饰形状而非空间能力
scope-0256,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问镜头转动时远山在画面中的相对位置变化
scope-0257,supporting_operation,C5_deformation_state,C2_dynamic_spatial,medium,询问开孔在车身部件结构中的静态区域
scope-0258,supporting_operation,C3_action_intent,,medium,追踪冲浪者在浪峰塌下前是否保持站立姿态
scope-0259,supporting_operation,C5_deformation_state,,high,询问捆扎点在木杆结构中的位置
scope-0260,directly_in_scope,C2_dynamic_spatial,,high,询问飞行器相对树线的高度变化
scope-0261,directly_in_scope,C2_dynamic_spatial,,high,询问大象相对建筑的最终运动方向
scope-0262,directly_in_scope,C5_deformation_state,C2_dynamic_spatial,high,询问处理操作后鱼钩与鱼是否分离
scope-0263,supporting_operation,C6_reference_frame,,medium,追踪骑手相对行进方向的主体朝向
scope-0264,directly_in_scope,C6_reference_frame,,high,以男子为参考判断固定点方向
scope-0265,directly_in_scope,C2_dynamic_spatial,,high,询问遥控飞行器相对地面的高度变化
scope-0266,directly_in_scope,C6_reference_frame,,high,以观察者为参考判断影子在道路上的延伸方向
scope-0267,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,以陆海全局参考判断鱼相对浪线的位置
scope-0268,directly_in_scope,C2_dynamic_spatial,,high,询问驾驶者是否在红灯前停于其他车辆后方
scope-0269,directly_in_scope,C6_reference_frame,,high,明确采用驾驶者视角判断汇入方向
scope-0270,outside_scope,NONE,,high,核心是两个人物身份的出现顺序
scope-0271,outside_scope,NONE,,high,只比较海岸展示与人物出现的镜头顺序
scope-0272,directly_in_scope,C2_dynamic_spatial,,high,询问白车与仓库之间距离的变化
scope-0273,supporting_operation,C5_deformation_state,C3_action_intent,medium,询问触碰车架与转动后轮部件的操作顺序
scope-0274,directly_in_scope,C5_deformation_state,,high,询问操作导致的后轮组件状态变化
scope-0275,directly_in_scope,C2_dynamic_spatial,,medium,询问镜头沿路径先后经过两类帐篷
scope-0276,directly_in_scope,C3_action_intent,,high,询问展示者指向动作的包装盒目标区域
scope-0277,directly_in_scope,C3_action_intent,C2_dynamic_spatial,high,询问取下鸟后携带行动的空间终点
scope-0278,supporting_operation,C3_action_intent,,medium,识别女子通过窄门时采取的身体姿态
scope-0279,directly_in_scope,C2_dynamic_spatial,,high,询问传中后球相对球员和守门员的轨迹终点顺序
scope-0280,directly_in_scope,C2_dynamic_spatial,,high,询问飞行器最终朝场地哪一侧飞离
scope-0281,directly_in_scope,C6_reference_frame,,high,以男子为参考判断绳索末端初始位置
scope-0282,directly_in_scope,C2_dynamic_spatial,,high,询问红车通过路口时选择的行进方向
scope-0283,outside_scope,NONE,,high,只比较座椅与控制键的镜头展示顺序
scope-0284,supporting_operation,C2_dynamic_spatial,,high,询问草地与村庄的静态前后关系
scope-0285,supporting_operation,C2_dynamic_spatial,,medium,询问道路两侧实体的静态空间分布
scope-0286,directly_in_scope,C6_reference_frame,,medium,询问镜头沿车身移动时各窗户进入视野的空间顺序
scope-0287,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问镜头环绕造成的摩托车左右朝向变化
scope-0288,directly_in_scope,C3_action_intent,,high,直接询问反复转动渔轮的目标
scope-0289,directly_in_scope,C1_occlusion_permanence,,high,需要追踪冲浪者在浪管中被遮挡的状态
scope-0290,supporting_operation,C3_action_intent,,medium,询问拿浮漂与展示鱼两个捕鱼阶段的顺序
scope-0291,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,明确以画面为参照判断冲浪者最后转向方向
scope-0292,outside_scope,NONE,,high,只比较果岭展示与自拍者出现的镜头顺序
scope-0293,outside_scope,NONE,,high,只比较山体与房屋的镜头呈现顺序
scope-0294,supporting_operation,C2_dynamic_spatial,,high,询问牛群相对道路的静态侧向位置
scope-0295,directly_in_scope,C5_deformation_state,,high,询问中控屏与仪表盘由未亮到亮的状态顺序
scope-0296,directly_in_scope,C1_occlusion_permanence,C2_dynamic_spatial,high,询问浪花完全遮挡冲浪者与其转向的时间关系
scope-0297,directly_in_scope,C2_dynamic_spatial,,high,询问小船通过桥下与桥墩的路径顺序
scope-0298,directly_in_scope,C3_action_intent,,high,直接询问两人操作鱼钩的目标
scope-0299,directly_in_scope,C6_reference_frame,C2_dynamic_spatial,high,询问小船通过桥下时桥面相对相机的运动
scope-0300,directly_in_scope,C2_dynamic_spatial,,high,询问狗沿栈道远离相机与转向栏杆的运动顺序
