scope_item_id,scope_status,primary_dimension,secondary_dimensions,confidence,reason_cn
scope-0401,directly_in_scope,C2_dynamic_spatial,,high,询问骑手沿赛道驶离的运动方向
scope-0402,directly_in_scope,C6_reference_frame,,high,明确以驾驶者为参考判断出口匝道方位
scope-0403,directly_in_scope,C2_dynamic_spatial,,high,询问冲浪者与岩石之间距离的变化
scope-0404,directly_in_scope,C1_occlusion_permanence,C2_dynamic_spatial,high,需要追踪直升机从灌木遮挡后出现与升空的关系
scope-0405,directly_in_scope,C2_dynamic_spatial,,high,需要跨片段追踪冲浪者的多次转向
scope-0406,directly_in_scope,C5_deformation_state,C3_action_intent,medium,询问开箱状态变化后配件被依次取出的操作过程
scope-0407,supporting_operation,C2_dynamic_spatial,,high,询问商店相对通道的静态侧向位置
scope-0408,directly_in_scope,C5_deformation_state,,high,询问车身部件的拆卸或未完成结构状态
scope-0409,directly_in_scope,C2_dynamic_spatial,C3_action_intent,high,询问鱼由水中转移到手中的空间过程
scope-0410,directly_in_scope,C2_dynamic_spatial,,high,询问冲浪者与岩石之间距离的变化
scope-0411,directly_in_scope,C5_deformation_state,C2_dynamic_spatial,high,询问捆扎操作导致木杆结构关系的变化
scope-0412,directly_in_scope,C3_action_intent,C2_dynamic_spatial,high,询问转动方向盘操作与车辆方向变化的作用关系
scope-0413,directly_in_scope,C5_deformation_state,C3_action_intent,high,询问移动盖板是否改变船内空间状态
scope-0414,directly_in_scope,C2_dynamic_spatial,,high,询问冲浪板在摔倒后的朝向终态
scope-0415,supporting_operation,C3_action_intent,,medium,询问握鱼与把鱼交给他人的动作顺序
scope-0416,supporting_operation,C2_dynamic_spatial,,high,询问高尔夫球相对洞口的静态终点
scope-0417,supporting_operation,C3_action_intent,C6_reference_frame,medium,识别男子面向同伴或汽车的行动朝向
scope-0418,directly_in_scope,C2_dynamic_spatial,,high,询问鱼进入抄网后是否再次改变内外关系
scope-0419,outside_scope,NONE,,high,只比较抬头与戴手套两个一般动作的顺序
scope-0420,directly_in_scope,C5_deformation_state,C3_action_intent,high,询问夹取操作后墙内零件是否被取出
scope-0421,directly_in_scope,C2_dynamic_spatial,,high,询问车辆沿路径接近低墙与转向返回的顺序
scope-0422,directly_in_scope,C1_occlusion_permanence,,high,需要追踪狗跑远时是否短暂失去清晰可见性
scope-0423,directly_in_scope,C2_dynamic_spatial,C3_action_intent,high,询问滑雪者越过栏杆并落回雪面的完整运动过程
scope-0424,directly_in_scope,C5_deformation_state,,high,询问橙色绳索是否由收拢状态逐渐展开
