blind_proposal_id,coverage_status,closest_generated_id,confidence,reason_cn
judgment-0001,partial,audit-0001-g01,0.84,生成题提到先滑蓝色栏杆且之后摔倒的位置，但未判断是否完整滑过并落回雪面。
judgment-0002,partial,audit-0001-g01,0.78,生成题涉及滑行后人与栏杆的最终相对位置，但没有追问滑雪板的高度和方向变化。
judgment-0003,partial,audit-0001-g01,0.88,生成题交代栏杆滑行动作在开头且结尾已摔倒，能关联先后关系，但任务本身是判断摔倒后的空间位置。
judgment-0004,partial,audit-0001-g01,0.86,生成题说明接触蓝色栏杆后发生摔倒，却未完整询问接近栏杆后的动作序列。
judgment-0005,direct,audit-0001-g01,0.93,生成题明确把栏杆滑行置于开头并说明随后摔倒，直接覆盖越杆后未保持站立这一核心事实。
judgment-0006,partial,audit-0001-g01,0.75,生成题给出结尾相对栏杆的上坡和左侧位置，但没有给出滑走时的朝向。
judgment-0007,partial,audit-0002-g02,0.81,生成题涉及开枪瞬间被瞄准的飞鸟，间接对应枪口朝天，但没有直接比较枪口朝水面还是天空。
judgment-0008,partial,audit-0002-g01,0.85,生成题区分一只近岸鸭和后续主鸭群，触及数量结构但没有要求统计同时可见总数。
judgment-0009,partial,audit-0002-g01,0.88,生成题比较开头近岸单鸭与后来水中鸭群的位置，但没有判断鸭群相对岸边的移动方式。
judgment-0010,partial,audit-0002-g02,0.89,生成题明确开枪时有飞鸟而主群仍漂在水面，相关地表明并非所有鸟始终在水面，但时间范围与群体条件未完全对应。
judgment-0011,absent,audit-0003-g01,0.94,生成题仅把山和房屋列为降雨可能到达的区域，没有涉及房屋在山体前后这一深度关系。
judgment-0012,absent,audit-0003-g01,0.96,生成题讨论云雨下一步影响区域，没有询问镜头先展示山体还是近处房屋。
judgment-0013,partial,audit-0003-g01,0.87,生成题把黄色房屋描述为画面中央，触及中心房屋，但未覆盖镜头移动后进入中央的动态过程。
judgment-0014,absent,audit-0003-g01,0.98,所有生成题都在预测雨幕去向，没有提及前景立柱或其遮挡山景的时刻。
judgment-0015,partial,audit-0003-g01,0.74,生成题同时涉及云层运动和中央黄色房屋，但没有判断深色云层是否位于房屋上方。
judgment-0016,direct,audit-0004-g01,0.99,生成题明确描述把鱼从水中提入皮划艇，正面覆盖鱼最终移到艇内而非留在水中的意图。
judgment-0017,partial,audit-0004-g01,0.86,生成题追踪浮标与鱼嘴在提鱼过程中的距离，却没有给出浮标相对皮划艇的位置变化。
judgment-0018,partial,audit-0004-g02,0.91,生成题说明鱼入艇并稳住后目标是取下鱼钩，覆盖处理鱼钩阶段但没有比较展示鱼与处理鱼钩的先后。
judgment-0019,partial,audit-0004-g01,0.75,生成题同时涉及浮标和被提起的鱼，但没有比较拿浮漂与展示鱼的动作次序。
judgment-0020,absent,audit-0004-g03,0.96,生成题只判断鱼竿是否始终在艇左侧，未说明鱼相对船头在哪一侧。
judgment-0021,partial,audit-0004-g01,0.79,生成题覆盖鱼被从水中举入艇内的同一过程，但完全缺少鱼身朝向变化这一关键要求。
